admin1Name,admin1Pcod,admin2Name,admin2Pcod,admin3Name,admin3Pc_1,admin4Name,admin4Pc_1
Southern,SL03,Pujehun,SL0304,Yakemu Kpukumu krim,SLE030412,Bagollay,SLE030412001
Southern,SL03,Pujehun,SL0304,Yakemu Kpukumu krim,SLE030412,Bapawa,SLE030412002
Southern,SL03,Pujehun,SL0304,Yakemu Kpukumu krim,SLE030412,Batowa,SLE030412003
Southern,SL03,Pujehun,SL0304,Yakemu Kpukumu krim,SLE030412,Bekowa,SLE030412004
Southern,SL03,Pujehun,SL0304,Yakemu Kpukumu krim,SLE030412,Deyombo,SLE030412005
Southern,SL03,Pujehun,SL0304,Yakemu Kpukumu krim,SLE030412,Fortune,SLE030412006
Southern,SL03,Pujehun,SL0304,Yakemu Kpukumu krim,SLE030412,Kpukumu,SLE030412009
Southern,SL03,Pujehun,SL0304,Yakemu Kpukumu krim,SLE030412,Seiwoh,SLE030412010
Southern,SL03,Pujehun,SL0304,Yakemu Kpukumu krim,SLE030412,Yabai,SLE030412012
Northern,SL02,Port Loko,SL0204,Koya,SLE020412,Mathirie,SLE020412013
Northern,SL02,Port Loko,SL0204,Bureh Kasseh Makonteh,SLE020401,Rogbla,SLE020401013
Southern,SL03,Pujehun,SL0304,Panga Kabonde,SLE030404,Bakoi,SLE030404001
Southern,SL03,Pujehun,SL0304,Galliness Perri,SLE030402,Jakema II,SLE030402007
Southern,SL03,Pujehun,SL0304,Yakemu Kpukumu krim,SLE030412,Kemo-Bo,SLE030412007
Southern,SL03,Pujehun,SL0304,Panga Kabonde,SLE030404,Banyande,SLE030404002
Southern,SL03,Pujehun,SL0304,Galliness Perri,SLE030402,Pelegbulor,SLE030402013
Southern,SL03,Pujehun,SL0304,Kpaka,SLE030403,Jassende Kpeima,SLE030403001
Southern,SL03,Pujehun,SL0304,Kpaka,SLE030403,Jassende Masaoma,SLE030403002
Southern,SL03,Pujehun,SL0304,Panga Kabonde,SLE030404,Kabonde,SLE030404003
Southern,SL03,Bonthe,SL0302,Bum,SLE030202,Fikie,SLE030202001
Southern,SL03,Bo,SL0301,Komboya,SLE030109,Tongowa,SLE030109005
Southern,SL03,Bo,SL0301,Valunia,SLE030114,Vanjelu,SLE030114006
Southern,SL03,Pujehun,SL0304,Barri,SLE030401,Dakona,SLE030401001
