DISTRICT,ALL RESIDEnCE,RURAL,URBAn,,,,,,
"",Total,Male,Female,Total,Male,Female,Total,Male,Female
Total country,7 092 113,3 490 978,3 601 135,4 187 016,2 052 387,2 134 629,2 905 097,1 438 591,1 466 506
"",,,,,,,,,
EASTERN,1 642 370,814 441,827 929,1 092 723,543 359,549 364,549 647,271 082,278 565
KAILAHUN,526 379,260 586,265 793,373 093,185 495,187 598,153 286,75 091,78 195
Dea,13 414,6 715,6 699,10 432,5 225,5 207,2 982,1 490,1 492
Jawie,50 951,24 938,26 013,34 930,17 072,17 858,16 021,7 866,8 155
Kissi Kama,20 421,10 201,10 220,20 421,10 201,10 220,-,-,-
Kissi Teng,45 149,22 965,22 184,35 663,18 126,17 537,9 486,4 839,4 647
Kissi Tongi,50 950,25 820,25 130,40 981,20 608,20 373,9 969,5 212,4 757
Kpeje Bongre,25 169,12 026,13 143,19 296,9 173,10 123,5 873,2 853,3 020
Kpeje West,27 544,14 135,13 409,21 852,11 178,10 674,5 692,2 957,2 735
Luawa,81 044,38 665,42 379,38 258,18 140,20 118,42 786,20 525,22 261
Malema,37 095,18 980,18 115,29 603,15 377,14 226,7 492,3 603,3 889
Mandu,30 984,14 791,16 193,19 153,9 087,10 066,11 831,5 704,6 127
Njaluahun,61 216,30 951,30 265,42 530,21 591,20 939,18 686,9 360,9 326
Penguia,26 272,13 193,13 079,21 507,10 814,10 693,4 765,2 379,2 386
Upper Bambara,26 848,12 793,14 055,14 208,6 853,7 355,12 640,5 940,6 700
Yawei,29 322,14 413,14 909,24 259,12 050,12 209,5 063,2 363,2 700
KENEMA,609 891,301 104,308 787,338 192,167 250,170 942,271 699,133 854,137 845
Dama,30 751,14 721,16 030,30 218,14 464,15 754,533,257,276
Dodo,22 858,11 738,11 120,22 858,11 738,11 120,-,-,-
Gaura,18 217,8 723,9 494,18 217,8 723,9 494,-,-,-
Gorama Mende,43 359,21 609,21 750,37 360,18 679,18 681,5 999,2 930,3 069
Kandu Lekpeama,18 229,9 274,8 955,18 229,9 274,8 955,-,-,-
Koya,13 482,6 732,6 750,13 482,6 732,6 750,-,-,-
Langrama,3 584,1 673,1 911,3 584,1 673,1 911,-,-,-
Lower Bambara,76 281,39 206,37 075,45 429,23 154,22 275,30 852,16 052,14 800
Malegohun,20 544,10 195,10 349,14 250,7 026,7 224,6 294,3 169,3 125
Niawa,7 815,3 661,4 154,7 815,3 661,4 154,-,-,-
Nomo,5 491,2 838,2 653,5 491,2 838,2 653,-,-,-
Nongowa,45 562,22 018,23 544,38 555,18 612,19 943,7 007,3 406,3 601
Simbaru,17 397,8 642,8 755,12 492,6 181,6 311,4 905,2 461,2 444
Small Bo,29 498,14 133,15 365,22 401,10 738,11 663,7 097,3 395,3 702
Tunkia,36 054,17 848,18 206,31 787,15 731,16 056,4 267,2 117,2 150
Wandor,20 326,10 275,10 051,16 024,8 026,7 998,4 302,2 249,2 053
